Date	TimeOfDay	Type	SubType	Distance	DistanceUnit	Duration	Weight	WeightUnit	RestHR	AvgHR	MaxHR	Sleep	Calories	Quality	Effort	Weather	Temperature	TempUnit	Notes	Course	CourseSurface	CourseNotes	ShoeMake	ShoeModel	Size	System	ShoeSerial	ShoePrice	OverallPlace	FieldSize	GroupMinAge	GroupMaxAge	GroupPlace	GroupSize	GenderPlace	GenderSize	
2015-09-04		Run	Easy	5.77	Mile	0:49:27													Cascades																	
2015-09-05		Run	Easy	1.73	Mile	0:15:25													Warmup																	
2015-09-05		Run	Easy	2.70	Mile	0:24:47													I remember this race was hot as balls, so not bad																	
2015-09-05		Run	Race	3.10	Mile	0:19:44													Artesian Classic																	
2015-09-06		Run	Long	8.11	Mile	1:01:24													Long run IN THE HOOD																	
2015-09-07		Run	Easy	7.08	Mile	1:00:17													Poooo plant																	
2015-09-08		Run	Easy	1.90	Mile	0:14:35													Warmup																	
2015-09-08		Run	Easy	1.30	Mile	0:15:08													No idea what happened here, must have been really hot or something.																	
2015-09-08		Run	Tempo	0.75	Mile	0:0:00													3 x 400<br><br>93/92/101																	
2015-09-09		Run	Easy	1.95	Mile	0:14:47													Warmup																	
2015-09-09		Run	Easy	2.02	Mile	0:14:16													Intermission																	
2015-09-09		Run	Interval	0.75	Mile	0:4:15													6 x 200<br><br>43/42/41/42/42/41																	
2015-09-09		Run	Tempo	1.50	Mile	0:9:49													6 x 400<br><br>101/95/98/99/99/97<br>																	
2015-09-10		Run	Easy	4.42	Mile	0:34:16													Cascades																	
2015-09-11		Run	Easy	5.87	Mile	0:46:58													17th street																	
2015-09-12		Run	Easy	1.22	Mile	0:9:33													Warmup																	
2015-09-12		Run	Easy	3.06	Mile	0:25:49													EZ PR																	
2015-09-12		Run	Race	3.10	Mile	0:19:04													Eagle Classic																	
2015-09-13		Run	Long	6.99	Mile	0:51:15													Hood run																	
2015-09-14		Run	Easy	7.11	Mile	0:55:46													Ryan Jackson				Nike	Air Zoom Pegasus 35	9.00	US/Canada	v2	99.99								
2015-09-15		Run	Easy	1.46	Mile	0:10:59													Warmup																	
2015-09-15		Run	Easy	1.61	Mile	0:15:48													Cooldown and mileage after the 2 mile. This workout looks balls to the wall insane jesus																	
2015-09-15		Run	Interval	6.10	Mile	0:36:51													2 mile, 5 x K, and 1 mile at Cascades<br><br>11:54 for the 2 mile<br>3:36/3:43/3:48/3:44/3:42 for the K's<br>6:18 for the mile																	
2015-09-16		Run	Easy	2.32	Mile	0:17:13													Warmup/cooldown																	
2015-09-16		Run	Tempo	3.00	Mile	0:18:20													Tempo 800, Tempo 400 x 4 in the neighborhood<br><br>2:49/90<br>3:01/93<br>3:08/98<br>3:04/97																	
2015-09-17		Run	Easy	5.82	Mile	0:48:24													Lil downtown action																	
2015-09-18		Run	Easy	5.81	Mile	0:49:15													Cascades																	
2015-09-19		Run	Easy	1.29	Mile	0:10:16													Warmup																	
2015-09-19		Run	Easy	2.27	Mile	0:22:31													South Knox lol																	
2015-09-19		Run	Race	3.10	Mile	0:19:58													South Knox 5k																	
2015-09-20		Run	Easy	3.50	Mile	0:27:41													Must have been sore or something, tough week																	
2015-09-21		Run	Easy	7.94	Mile	1:03:13													The run where me and Michael got lost																	
2015-09-22		Run	Easy	1.44	Mile	0:10:23													Warmup																	
2015-09-22		Run	Easy	1.43	Mile	0:13:06													Cooldown. I think this is when coach said we could do better than South Knox since we ran quick at Cascades after. Weird day																	
2015-09-22		Run	Interval	1.00	Mile	0:5:46													Hard mile at Cascades																	
2015-09-22		Run	Fartlek	3.00	Mile	0:19:03													Fartlek at Cascades?																	
2015-09-23		Run	Easy	7.01	Mile	0:51:54													Some cascades stuff																	
2015-09-24		Run	Easy	6.39	Mile	0:51:27													Arlington run																	
2015-09-25		Run	Easy	1.48	Mile	0:11:00													Warmup																	
2015-09-25		Run	Easy	1.46	Mile	0:12:19													Odd before race but alright lol																	
2015-09-25		Run	Tempo	1.00	Mile	0:6:05													Tempo mile at Cascades																	
2015-09-26		Run	Easy	1.87	Mile	0:15:25													Warmup																	
2015-09-26		Run	Easy	1.97	Mile	0:18:31													This race was also hot as balls																	
2015-09-26		Run	Race	3.10	Mile	0:19:59													Culver Invitational 																	
2015-09-27		Run	Easy	5.67	Mile	0:42:29													Slight run before tuesday county																	
2015-09-28		Run	Easy	4.44	Mile	0:35:24													B-line out and back from north																	
2015-09-29		Run	Easy	0.85	Mile	0:6:45													Warmup																	
2015-09-29		Run	Easy	4.93	Mile	0:41:09													Cooldown and some hill repeats looks like. I remember this day being dark, rainy, and gloomy with an angry coach																	
2015-09-29		Run	Race	3.10	Mile	0:19:37													County Meet																	
2015-09-30		Run	Easy	7.11	Mile	0:49:51													This was THE ryan jackson run, perhaps one of the most pivotal runs in my career. I realized how quick I could go when I ran with the top guys on a notoriously tough route, plus this was post season where the top 12 were invited back and I squeaked in at 11 or 12. I remember complete euphoria afterwards, maybe I stepped on a used needle on the road																	
2015-10-01		Run	Easy	6.82	Mile	0:49:41													Another quick Arlington 17th street run. I also finally kept all my runs on one activity, nice																	
2015-10-02		Run	Easy	6.80	Mile	0:52:19													Some cascades running																	
2015-10-03		Run	Easy	0.68	Mile	0:5:13													Warmup																	
2015-10-03		Run	Easy	0.87	Mile	0:7:56													Holy. Fuck. I don't even know if I could do this today (fixing for pace), this was incredible. This is also the famed ouch quitting and coach making us do another K workout. I don't think I was ever more scared of coach than i was sophomore year.																	
2015-10-03		Run	Interval	5.58	Mile	0:32:49													9 x K repeats at Bedford<br><br>3:24/3:38/3:41/3:54/3:40/3:29/3:52/3:36/3:35																	
2015-10-04		Run	Easy	3.51	Mile	0:25:36													Hood running																	
2015-10-05		Run	Easy	6.87	Mile	0:51:21													Another hood run																	
2015-10-06		Run	Easy	1.05	Mile	0:7:47													Warmup																	
2015-10-06		Run	Easy	1.55	Mile	0:14:06													Another very impressive workout																	
2015-10-06		Run	Interval	3.72	Mile	0:21:52													6 x K at Brown Cow<br><br>3:28/3:37/3:36/3:41/3:44/3:46																	
2015-10-06		Run	Fartlek	3.08	Mile	0:20:00													Fartlek and Brown Cow																	
2015-10-07		Run	Easy	1.47	Mile	0:10:29													Warmup																	
2015-10-07		Run	Easy	3.21	Mile	0:24:48																														
2015-10-07		Run	Fartlek	3.00	Mile	0:18:32													Some sort of fartlek/tempo at Cascades																	
2015-10-08		Run	Easy	5.44	Mile	0:41:39													B-line loop																	
2015-10-09		Run	Easy	4.39	Mile	0:32:18													Short 17th loop																	
2015-10-10		Run	Easy	4.62	Mile	0:35:26													Post race mileage I guess																	
2015-10-10		Run	Race	3.10	Mile	0:18:57													Sectionals Time Trial																	
2015-10-11		Run	Easy	4.29	Mile	0:28:49													Quick hood run wowzas																	
2015-10-12		Run	Easy	5.95	Mile	0:43:27													Ryan Jackson																	
2015-10-13		Run	Easy	1.07	Mile	0:7:25													Warmup																	
2015-10-13		Run	Easy	2.55	Mile	0:20:57													Cooldown																	
2015-10-13		Run	Interval	5.50	Mile	0:32:25													1200, 400, 600 x 4<br><br>3:34/83/3:09<br>3:36/79/3:18<br>3:31/80/3:02<br>3:25/75:3:33																	
2015-10-14		Run	Easy	1.50	Mile	0:10:07													Warmup																	
2015-10-14		Run	Easy	1.43	Mile	0:11:16													Cooldown																	
2015-10-14		Run	Tempo	4.00	Mile	0:26:05													4 x Tempo mile at Cascades<br><br>6:32/6:33/6:29/6:31																	
2015-10-15		Run	Easy	6.66	Mile	0:51:44													17th walnut loop thing																	
2015-10-16		Run	Easy	4.87	Mile	0:34:48													Cascades 																	
2015-10-17		Run	Easy	0.97	Mile	0:7:29													Warmup																	
2015-10-17		Run	Race	3.10	Mile	0:18:36													Regionals Time Trial																	
2015-10-18		Run	Easy	2.89	Mile	0:20:08													Hood																	
2015-10-19		Run	Easy	7.12	Mile	0:50:13													Ryan Jackson																	
2015-10-21		Run	Easy	1.50	Mile	0:11:29													I think I had the flu																	
2015-10-23		Run	Easy	2.01	Mile	0:14:24																														
2015-10-24		Run	Easy	1.27	Mile	0:9:24													Warmup																	
2015-10-24		Run	Race	3.10	Mile	0:19:36													Semi State time trial																	
2015-10-26		Run	Easy	5.36	Mile	0:39:59													17th out and back																	
2015-10-27		Run	Easy	1.51	Mile	0:10:52													Warmup																	
2015-10-27		Run	Easy	1.50	Mile	0:12:33													Pretty good for being sick not long ago. I remember being back of the pack though																	
2015-10-27		Run	Interval	3.00	Mile	0:17:00													12 x 400<br><br>81/78/81/80/81/85/85/84/85/85/84/86																	
2015-10-28		Run	Easy	5.56	Mile	0:41:51													Town																	
2015-10-29		Run	Easy	4.99	Mile	0:36:33													17th Cascades																	
2015-10-30		Run	Easy	4.04	Mile	0:28:41													Poo plant																	
2015-11-12		Run	Easy	2.08	Mile	0:16:04													Hood																	
2015-11-13		Run	Easy	3.18	Mile	0:24:37													Hood																	
2015-11-14		Run	Easy	4.03	Mile	0:31:21													Hood																	
2015-11-16		Run	Easy	5.17	Mile	0:41:27													Hood																	
2015-11-17		Run	Easy	5.27	Mile	0:33:32													Cascades up Walnut																	
2015-11-18		Run	Easy	4.61	Mile	0:37:00													Bayles loop																	
2015-11-19		Run	Easy	5.62	Mile	0:56:43													Frisbee																	
2015-11-20		Run	Easy	5.48	Mile	0:42:36													Bayles																	
2015-11-21		Run	Easy	4.54	Mile	0:33:11													Hood																	
2015-11-22		Run	Easy	5.46	Mile	0:52:53													Weird highway running with isaiah and nick																	
2015-11-23		Run	Easy	6.20	Mile	0:46:26													Hood																	
2015-11-24		Run	Easy	6.04	Mile	0:48:44													Hood																	
2015-11-25		Run	Easy	5.00	Mile	0:38:24													Hood																	
2015-11-26		Run	Easy	0.97	Mile	0:8:07													Warmup																	
2015-11-26		Run	Easy	1.93	Mile	0:15:15													Cooldown																	
2015-11-26		Run	Race	3.10	Mile	0:19:16													Turkey Trot																	
2015-11-28		Run	Easy	5.00	Mile	0:43:21													Hood																	
2015-11-29		Run	Easy	2.01	Mile	0:15:36													Hood																	
2015-11-30		Run	Easy	6.31	Mile	0:45:39													Near griffy																	
2015-12-01		Run	Easy	5.99	Mile	0:47:36													Gourley and Cascades running																	
2015-12-02		Run	Easy	5.78	Mile	0:48:49													17th street loop																	
2015-12-03		Run	Easy	6.06	Mile	0:44:15													17th street																	
2015-12-04		Run	Easy	6.06	Mile	0:47:08													Bayles																	
2015-12-05		Run	Easy	5.06	Mile	0:41:19													Hood run																	
2015-12-06		Run	Easy	5.11	Mile	0:39:31													Hood																	
2015-12-07		Run	Easy	6.30	Mile	0:48:06													Trailer park out and back																	
2015-12-08		Run	Easy	7.40	Mile	0:53:05													17th fee lane loop																	
2015-12-09		Run	Easy	6.01	Mile	0:42:39													17th Cascades loop																	
2015-12-10		Run	Easy	7.18	Mile	0:50:04													Cascades-Walnut-North Kinser running																	
2015-12-11		Run	Easy	6.06	Mile	0:45:20													Ryan Jackson																	
2015-12-12		Run	Long	8.26	Mile	1:06:27													North neighborhoods and some Arlington road																	
2015-12-14		Run	Easy	6.38	Mile	0:46:40													Bayles Walnut loop																	
2015-12-15		Run	Easy	7.03	Mile	0:51:13													Arlington road out and back																	
2015-12-16		Run	Easy	1.00	Mile	0:7:00													Warmup																	
2015-12-16		Run	Easy	5.00	Mile	0:37:30													I'm using Andy's log to fill in some gaps here, I think I ran a 5:18 on the time trial before winter break but I have literally no proof. This also doesn't fill in all of the mileage I have recorded on google keep, but oh well.																	
2015-12-16		Run	Race	1.00	Mile	0:5:18													Mile time trial on the track																	
2015-12-17		Run	Easy	7.13	Mile	0:52:10													Ryan Jackson																	
2015-12-18		Run	Easy	5.45	Mile	0:41:20													17th loop																	
2015-12-20		Run	Long	9.32	Mile	1:19:13													Down the gravel hill and up Lentz																	
2015-12-21		Run	Easy	7.16	Mile	0:54:20													Hood running																	
2015-12-22		Run	Easy	1.03	Mile	0:7:51													Warmup																	
2015-12-22		Run	Easy	1.03	Mile	0:8:23													Cooldown. I think this was a tempo with isaiah																	
2015-12-22		Run	Tempo	2.98	Mile	0:18:30													3 mile tempo in the neighborhood																	
2015-12-23		Run	Easy	7.82	Mile	1:01:12													Looks like up Marlin down Whisnand																	
2015-12-24		Run	Easy	7.13	Mile	0:53:52													Cascades																	
2015-12-25		Run	Easy	3.05	Mile	0:21:47													Hood running																	
2015-12-26		Run	Long	10.97	Mile	1:21:31													Broken up into two runs, but 7 miles out and back on 17th and maybe a double later in the day?																	
2015-12-27		Run	Easy	5.74	Mile	0:0:00													Pooplant																	
2015-12-30		Run	Easy	8.05	Mile	1:03:39													Neighborhoods and golf course																	
2015-12-31		Run	Easy	7.21	Mile	0:53:38													Cascades																	
2016-01-01		Run	Easy	6.15	Mile	0:45:55													Bayles 																	
2016-01-02		Run	Easy	6.07	Mile	0:45:32													Cascades out and back																	
2016-01-03		Run	Long	10.05	Mile	1:18:37													Early Young to old 37 out and back																	
2016-01-04		Run	Easy	7.01	Mile	0:49:01													Pooplant																	
2016-01-05		Run	Easy	7.10	Mile	0:0:00													Walnut out and back																	
2016-01-06		Run	Easy	1.93	Mile	0:14:34													Warmup																	
2016-01-06		Run	Easy	2.33	Mile	0:16:35													Cooldown mileage																	
2016-01-06		Run	Fartlek	3.47	Mile	0:21:34													Fartlek of some sort																	
2016-01-07		Run	Easy	5.97	Mile	0:41:52													17th loop																	
2016-01-08		Run	Easy	6.17	Mile	0:47:53													Gourley loop																	
2016-01-09		Run	Easy	8.01	Mile	1:00:37													Pooplant																	
2016-01-10		Run	Long	10.00	Mile	1:16:21													Downtown out and back																	
2016-01-11		Run	Easy	5.91	Mile	0:44:33													Gourley and cascades																	
2016-01-12		Run	Easy	7.14	Mile	0:50:43													Cascades out and back																	
2016-01-13		Run	Easy	6.99	Mile	0:53:25													Bypass out and back																	
2016-01-14		Run	Easy	2.04	Mile	0:15:12													Warmup																	
2016-01-14		Run	Easy	3.94	Mile	0:31:31													I remember being pretty proud of this mile back in the day, big time PR																	
2016-01-14		Run	Race	1.00	Mile	0:5:09													Mile time trial on the track																	
2016-01-15		Run	Easy	6.92	Mile	0:54:34													Some running in town																	
2016-01-16		Run	Easy	6.08	Mile	0:47:38													No map of this run																	
2016-01-17		Run	Long	10.11	Mile	1:22:18													10 mile loops in the hood lol																	
2016-01-18		Run	Easy	6.21	Mile	0:48:40													Cascades out and back																	
2016-01-19		Run	Easy	8.01	Mile	0:57:30													Ryan Jackson																	
2016-01-20		Run	Easy	8.19	Mile	1:04:08													Hood running																	
2016-01-21		Run	Easy	6.87	Mile	0:46:15													Oddly fast 6 minute 1st mile, then downtown running																	
2016-01-22		Run	Easy	7.06	Mile	0:55:16													Neighborhood running																	
2016-01-23		Run	Easy	8.17	Mile	0:59:17													Marlin Whisnand loop																	
2016-01-24		Run	Long	11.01	Mile	1:22:03													Out to South and back																	
2016-01-25		Run	Easy	2.12	Mile	0:15:20													Warmup																	
2016-01-25		Run	Easy	1.00	Mile	0:8:52													Cooldown																	
2016-01-25		Run	Fartlek	4.57	Mile	0:28:44													Probably a fartlek or tempo																	
2016-01-26		Run	Easy	6.97	Mile	0:51:19													Some cascades running																	
2016-01-27		Run	Easy	9.16	Mile	1:05:00													Long flower run																	
2016-01-28		Run	Easy	1.99	Mile	0:13:40													Warmup																	
2016-01-28		Run	Easy	1.92	Mile	0:17:47													Rests during the workout																	
2016-01-28		Run	Interval	3.75	Mile	0:19:16													4 x 800, 5 x 400, 4 x 200<br><br>2:56/2:44/2:28/2:35 for the 800s<br>81/76/71/70/77 for the 400's<br>36/34/33/35 for the 200's<br>																	
2016-01-29		Run	Easy	6.98	Mile	0:54:00													Pooplant																	
2016-01-30		Run	Easy	8.20	Mile	0:57:32													Hood running																	
2016-01-31		Run	Long	12.14	Mile	1:32:23													B-line out and back																	
2016-02-01		Run	Easy	8.01	Mile	0:54:51													B-line out and back																	
2016-02-02		Run	Easy	1.95	Mile	0:14:38													Warmup																	
2016-02-02		Run	Easy	1.21	Mile	0:9:13													Cooldown																	
2016-02-02		Run	Interval	3.00	Mile	0:14:04													4 x 400, 16 x 200<br><br>72/71/75/70 for the 400's<br>34/35/34/33/37/36/34/36/35/35/35/36/34/35/33/34																	
2016-02-03		Run	Easy	6.85	Mile	0:53:23													All on the track damn																	
2016-02-04		Run	Easy	7.11	Mile	0:52:38													Bypass out and back																	
2016-02-05		Run	Easy	5.07	Mile	0:39:13													17th loop																	
2016-02-06		Run	Easy	1.24	Mile	0:8:47													Warmup																	
2016-02-06		Run	Easy	1.34	Mile	0:9:57													Cooldown																	
2016-02-06		Run	Race	1.00	Mile	0:4:58													1 mile indoor at Distance Invite																	
2016-02-07		Run	Easy	6.95	Mile	0:55:02													Early young out and back																	
2016-02-08		Run	Easy	8.06	Mile	1:00:47													Random running around the greater north area																	
2016-02-09		Run	Easy	7.01	Mile	0:50:50													Bypass out and back																	
2016-02-10		Run	Easy	7.05	Mile	0:48:59													Walnut loop																	
2016-02-11		Run	Easy	8.26	Mile	1:00:25													Bayles walnut																	
2016-02-12		Run	Easy	5.02	Mile	0:38:25													Running around north																	
2016-02-13		Run	Easy	8.00	Mile	0:0:00													No record of this run, but google keep has 50 miles for the week.																	
2016-02-14		Run	Easy	7.18	Mile	0:54:00													Bayles to cascades running																	
2016-02-15		Run	Easy	7.01	Mile	0:52:21													17th loop																	
2016-02-16		Run	Easy	1.88	Mile	0:13:05													Warmup																	
2016-02-16		Run	Easy	3.07	Mile	0:23:34													Cooldown																	
2016-02-16		Run	Tempo	3.22	Mile	0:17:59													Some tempo, maybe even interval workout																	
2016-02-17		Run	Easy	6.89	Mile	0:50:04													Pooplant																	
2016-02-18		Run	Easy	1.96	Mile	0:14:17													Warmup																	
2016-02-18		Run	Interval	1.00	Mile	0:4:59													4 x 400<br><br>78/77/74/70																	
2016-02-19		Run	Easy	7.20	Mile	0:53:14													Bayles 17th loop																	
2016-02-20		Run	Long	12.00	Mile	0:0:00													No record of this run, but google keep says 55 miles for the week.																	
2016-02-21		Run	Easy	10.00	Mile	1:12:33													Flower run loop of sorts																	
2016-02-22		Run	Easy	8.01	Mile	1:00:16													Westside out and back																	
2016-02-23		Run	Easy	1.06	Mile	0:7:15													Warmup																	
2016-02-23		Run	Easy	4.22	Mile	0:37:25													Workout cooldown mileage and cooldown																	
2016-02-23		Run	Interval	2.75	Mile	0:13:56													1600, 800, 600, 500, 400, 300, 200<br><br>5:28/2:38/1:53/1:29/77/59/31																	
2016-02-24		Run	Easy	7.00	Mile	0:54:41													17th out and back																	
2016-02-25		Run	Easy	7.24	Mile	0:51:58													Out and back to Bethel																	
2016-02-26		Run	Easy	1.07	Mile	0:7:01													Warmup																	
2016-02-26		Run	Easy	1.91	Mile	0:15:41													Cooldown																	
2016-02-26		Run	Tempo	5.71	Mile	0:36:23													14 x 400 at tempo pace																	
2016-02-27		Run	Easy	9.00	Mile	1:08:57													Bayles 17th loop																	
2016-02-28		Run	Long	13.13	Mile	1:35:59													My first half marathon ever with Drew and Isaiah out to Gentry and back, I remember it being nice weather and very tough towards the end																	
2016-02-29		Run	Easy	7.00	Mile	0:0:00													No record of this run																	
2016-03-01		Run	Easy	2.00	Mile	0:0:00													Warmup																	
2016-03-01		Run	Easy	0.50	Mile	0:0:00													Cooldown. This is from Andy's log.																	
2016-03-01		Run	Tempo	4.50	Mile	0:0:00													6 x 300, 800 recovery, hard 800, 800 recovery, 6 x 300																	
2016-03-02		Run	Easy	7.00	Mile	0:0:00													No record of this run																	
2016-03-03		Run	Easy	5.00	Mile	0:0:00													No record of this run																	
2016-03-04		Run	Easy	1.00	Mile	0:0:00													Warmup																	
2016-03-04		Run	Easy	3.00	Mile	0:0:00													No record of this run																	
2016-03-04		Run	Race	1.00	Mile	0:4:58													North Indoor Invitational																	
2016-03-05		Run	Easy	8.10	Mile	0:0:00													No record of this run																	
2016-03-06		Run	Long	10.91	Mile	1:22:26													Downtown running with a second run in the hood right after.																	
2016-03-07		Run	Easy	7.46	Mile	0:54:35													North mileage, track mile, then Gourley loop																	
2016-03-08		Run	Easy	5.23	Mile	0:36:57													Bypass out and back																	
2016-03-09		Run	Easy	1.52	Mile	0:11:58													Warmup																	
2016-03-09		Run	Easy	1.62	Mile	0:13:57													Cooldown. This was the race when dad was in the hospital, also won my heat!																	
2016-03-09		Run	Race	1.00	Mile	0:4:49													South Indoor Invitational																	
2016-03-10		Run	Easy	5.22	Mile	0:37:05													Ryan Jackson																	
2016-03-11		Run	Easy	1.18	Mile	0:7:48													Warmup																	
2016-03-11		Run	Easy	1.20	Mile	0:11:52													Cooldown mileage																	
2016-03-11		Run	Tempo	4.29	Mile	0:32:36													18 200's, first 10 with 60 seconds rest, next 8 50 seconds rest																	
2016-03-12		Run	Easy	7.16	Mile	0:53:52													Hood running																	
2016-03-13		Run	Long	8.03	Mile	1:00:53													17th and downtown loop.																	
2016-03-14		Run	Easy	7.04	Mile	0:56:11													Neighborhood running																	
2016-03-15		Run	Easy	1.00	Mile	0:7:34													Warmup																	
2016-03-15		Run	Tempo	6.00	Mile	0:45:24													2 x tempo mile, 4 x 200 x 2<br><br>5:47/6:33, unsure on 200s, 5:48/6:23, unsure on 200s																	
2016-03-16		Run	Easy	5.08	Mile	0:37:47													Hood running																	
2016-03-17		Run	Easy	8.00	Mile	1:02:06													Earl Young out and back																	
2016-03-18		Run	Easy	7.13	Mile	0:58:31													Bypass to Griffy out and back																	
2016-03-19		Run	Easy	5.75	Mile	0:45:18													Some north running																	
2016-03-20		Run	Long	10.01	Mile	1:16:16													North, Bayles, Cascades running																	
2016-03-21		Run	Easy	7.14	Mile	0:49:40													Gourley loop and north running																	
2016-03-22		Run	Easy	7.00	Mile	0:53:04													17th loop																	
2016-03-23		Run	Easy	2.03	Mile	0:13:56													Warmup																	
2016-03-23		Run	Easy	1.49	Mile	0:12:04													Cooldown																	
2016-03-23		Run	Tempo	4.19	Mile	0:30:03													4 sets of 3 x 300																	
2016-03-24		Run	Easy	7.06	Mile	0:52:23													17th out and back																	
2016-03-25		Run	Easy	1.00	Mile	0:7:14													Warmup																	
2016-03-25		Run	Easy	2.04	Mile	0:15:06													Cooldown																	
2016-03-25		Run	Tempo	4.00	Mile	0:24:00													2 x 12 minute runs																	
2016-03-27		Run	Long	10.06	Mile	1:14:37													17th out and back starting at the IU track. Must have been HSR day? 3 miles somewhere else later																	
2016-10-08		Run	Race	3.10	Mile	0:17:10.10													Sectionals. Putting this in for the personal records. Good race.																	
2016-11-25	9:16 AM	Run	Easy	3.10	Mile	0:22:34													Felt very good, slight pain in left foot. Best first run back yet.																	
2016-11-26	4:25 PM	Run	Easy	4.04	Mile	0:29:04													Felt pretty good, pushed the pace too much for sure and felt it in the end. Still a solid pace. Some pain in groinal area, just need to make sure to stretch.																	
2016-11-28	3:48 PM	Run	Easy	4.83	Mile	0:34:38													3rd day back, first winter training practice. Ran with drew and felt good and fast.																	
2016-11-29	3:30 PM	Run	Easy	4.99	Mile	0:33:37													Another fast run with drew, ahead of the whole team. Felt sore from either yesterday's run or lifting. Good pace for 4th run back.																	
2016-11-30	3:44 PM	Run	Easy	5.61	Mile	0:38:01													First run with group and I hate big groups. Good pace, much faster than I wanted but still kicked well. I wonder how long I can keep this pace up.																	
2016-12-01	3:48 PM	Run	Easy	5.05	Mile	0:34:18													Ran with drew, isaiah, and andy. Hopefully top 4. Ran hard.																	
